A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,Class
0.3847,0.1502,0.2572,0.0182,0.5122,0.1581,0.2585,0.0158,0.5119,0.1388,0.367,0.0221,0.0002,0.6938,0.377,0.7396,0.6822,0.7701,0.7131,0.8425,0.6099,0.631,0.768,0.3857,0.0002,0.7233,0.4319,0.733,0.6745,0.6478,0.8713,0.8141,0.718,0.7564,0.7852,0.3661,1
0.1382,0.4751,0.0942,0.0365,0.1632,0.4772,0.1029,0.0393,0.1614,0.4066,0.1422,0.0491,0.0001,0.5316,0.306,0.7562,0.6165,0.5749,0.4847,0.6497,0.4873,0.5015,0.5228,0.4026,0.0001,0.5798,0.2739,0.854,0.7192,0.7156,0.5877,0.681,0.7743,0.7492,0.8992,0.4305,1
0.3417,0.3035,0.2123,0.0312,0.4424,0.2701,0.2452,0.0202,0.4263,0.2502,0.3082,0.0227,0.0001,0.6647,0.2627,0.6544,0.6341,0.8026,0.7152,0.7957,0.653,0.7186,0.6739,0.3606,0.0001,0.7096,0.2143,0.6781,0.7155,0.7132,0.7963,1,0.8605,0.8644,0.673,0.1176,1
0.0789,0.6495,0.0505,0.0436,0.07,0.6881,0.0162,0.0215,0.0706,0.5795,0.0707,0.0276,0.0006,0.4262,0.2199,0.5527,0.5061,0.5664,0.5182,0.5275,0.3673,0.4107,0.3956,0.3438,0.0006,0.463,0.1805,0.643,0.5377,0.5121,0.4559,0.4417,0.4636,0.6714,0.4702,0.2941,1
0.2051,0.3568,0.1319,0.0309,0.2823,0.378,0.1092,0.0265,0.2815,0.3258,0.2377,0.0312,0.0005,0.6221,0.2821,0.6897,0.6994,0.7407,0.6169,0.7476,0.4703,0.5306,0.6125,0.517,0.0005,0.6484,0.3084,0.8625,0.7725,0.8233,0.8067,0.8391,0.5102,0.6694,0.7304,0.5378,1
0.1118,0.5253,0.0696,0.0196,0.1406,0.5399,0.0726,0.0093,0.1421,0.4426,0.146,0.0165,0.0005,0.5549,0.2206,0.657,0.5693,0.6481,0.6253,0.7311,0.5272,0.5156,0.5522,0.356,0.0005,0.5933,0.1517,0.7377,0.64,0.869,0.7005,0.7729,0.7629,0.783,0.8138,0.391,1
0.3735,0.2143,0.2598,0.0098,0.4875,0.1931,0.2999,0.0081,0.4613,0.2114,0.358,0.0112,0.0028,0.762,0.2382,0.8241,0.7048,0.7697,0.8008,0.8785,0.8085,0.6428,0.9747,0.5431,0.0028,0.793,0.1935,0.757,0.6255,0.7534,0.8881,0.7834,0.8421,0.8287,0.7964,0.2281,1
0.2999,0.1622,0.2773,0.0336,0.3808,0.1702,0.2653,0.0062,0.3452,0.188,0.3596,0.0093,0.0003,0.6886,0.3496,0.6789,0.799,0.7032,0.5865,0.7889,0.5792,0.7608,0.7867,0.5656,0.0003,0.7222,0.3927,0.7221,0.7782,0.5293,0.5224,0.5102,0.6265,0.8438,0.9231,0.3807,1
0.2843,0.2981,0.2222,0.0593,0.3303,0.308,0.2274,0.0349,0.3116,0.3062,0.2784,0.0358,0.0005,0.549,0.2171,0.7602,0.6302,0.6768,0.5567,0.6508,0.5199,0.5814,0.4822,0.3369,0.0005,0.5902,0.122,0.5025,0.6162,0.4463,0.5839,0.4835,0.4156,0.5829,0.4931,0.288,1
0.3091,0.2459,0.2369,0.096,0.4052,0.2282,0.2032,0.0384,0.4149,0.1857,0.3234,0.0403,0.0012,0.6266,0.2233,0.6627,0.7644,0.6864,0.6575,0.7651,0.6579,0.4989,0.5862,0.5136,0.0012,0.6536,0.3488,0.503,0.5946,0.6566,0.5473,0.6543,0.8225,0.7471,0.4566,0.378,1
0.1707,0.1939,0.2113,0.0205,0.2016,0.1563,0.2332,0.0132,0.1863,0.1621,0.2753,0.0236,0.0058,0.6791,0.3588,0.6425,0.6777,0.8043,0.7109,0.8496,0.6713,0.6614,0.6485,0.3651,0.0058,0.7309,0.2161,0.5621,0.5884,0.858,0.6959,0.8032,0.873,0.5852,0.4716,0.1515,1
0.1852,0.3609,0.1479,0.0176,0.2249,0.3572,0.1231,0.0141,0.2248,0.3096,0.2225,0.0206,0.0003,0.5415,0.2374,0.6249,0.65,0.5565,0.6097,0.6431,0.5595,0.5179,0.4524,0.4245,0.0003,0.565,0.2361,0.6804,0.6416,0.4249,0.5206,0.5174,0.6117,0.5149,0.5241,0.4875,1
0.2897,0.3244,0.1668,0.0104,0.3847,0.3571,0.1452,0.0043,0.364,0.3379,0.2127,0.0095,0.0007,0.6345,0.2399,0.6706,0.6591,0.721,0.6653,0.7308,0.5523,0.59,0.6655,0.5196,0.0007,0.6592,0.2615,0.7529,0.8241,0.7898,0.6954,0.716,0.7652,0.8318,0.9701,0.5062,1
0.2263,0.3233,0.1738,0.0983,0.2906,0.3364,0.167,0.0666,0.2846,0.2953,0.2643,0.0718,0.0011,0.6414,0.375,0.6575,0.6891,0.7416,0.6978,0.7453,0.5279,0.6549,0.567,0.4238,0.0011,0.7079,0.1889,0.7304,0.824,0.8058,0.7779,0.6832,0.6159,0.7203,0.7226,0.4188,1
0.2465,0.3639,0.1252,0.0307,0.314,0.3923,0.1412,0.0162,0.2876,0.3842,0.1691,0.0191,0.0051,0.5766,0.3038,0.746,0.6353,0.6759,0.605,0.6279,0.5136,0.55,0.5808,0.4465,0.0051,0.5996,0.2537,0.6628,0.8066,0.7612,0.637,0.6685,0.5594,0.658,0.7548,0.3542,1
0.1965,0.3547,0.1363,0.0063,0.2719,0.3305,0.1552,0.003,0.2657,0.2805,0.2302,0.0069,0.0027,0.5669,0.1678,0.6225,0.6404,0.6672,0.7495,0.645,0.5355,0.5356,0.5887,0.3891,0.0027,0.5903,0.1678,0.661,0.7018,0.6294,0.6246,0.7609,0.7603,0.6416,0.6562,0.1643,1
0.2781,0.1542,0.2506,0.0093,0.3254,0.1219,0.2419,0.0105,0.301,0.1294,0.3188,0.0133,0.002,0.7504,0.345,0.7807,0.8311,0.7418,0.794,0.919,0.7337,0.6511,0.7152,0.4111,0.002,0.8259,0.2598,0.7109,0.8182,0.8978,0.874,0.8737,0.6046,0.6297,0.6318,0.2392,1
0.2105,0.3707,0.1459,0.0189,0.2868,0.3802,0.1356,0.0062,0.2818,0.3394,0.2153,0.0105,0.0003,0.6324,0.3476,0.6805,0.6706,0.7317,0.6823,0.7862,0.5538,0.6422,0.5743,0.3595,0.0003,0.6581,0.4449,0.7641,0.6429,0.8142,0.9259,0.8989,0.6932,0.7618,0.8258,0.2314,1
0.2564,0.3196,0.1815,0.006,0.3358,0.3155,0.1559,0.0046,0.3173,0.285,0.2255,0.0088,0.0006,0.6439,0.2652,0.7062,0.6588,0.7672,0.7236,0.7469,0.5913,0.6514,0.6285,0.4059,0.0006,0.6733,0.1681,0.7269,0.6811,0.8145,0.7549,0.7009,0.6169,0.7983,0.783,0.3293,1
0.2591,0.2281,0.1905,0.0089,0.3175,0.2204,0.1835,0.0084,0.2918,0.2259,0.2523,0.0081,0.0015,0.661,0.3385,0.7177,0.7099,0.7113,0.6852,0.8238,0.5985,0.6911,0.6921,0.3922,0.0015,0.7093,0.2031,0.6075,0.7068,0.9295,0.8189,0.8081,0.6802,0.8164,0.9108,0.2515,1
0.2961,0.3431,0.1567,0.0214,0.3782,0.3773,0.1354,0.0182,0.3518,0.3665,0.2193,0.0233,0.0004,0.6156,0.2867,0.7062,0.6823,0.6915,0.6865,0.6644,0.481,0.6647,0.7299,0.3963,0.0004,0.6582,0.192,0.7466,0.7202,0.8498,0.7226,0.7451,0.6114,0.8514,0.7678,0.3657,1
0.1497,0.3963,0.1315,0.0281,0.2004,0.4205,0.1493,0.0152,0.1853,0.3881,0.1762,0.0171,0.0006,0.5383,0.1345,0.5896,0.571,0.7537,0.6437,0.6322,0.4853,0.5731,0.4278,0.297,0.0006,0.5539,0.133,0.5978,0.5029,0.7144,0.5627,0.4885,0.4338,0.662,0.4687,0.0926,1
0.3115,0.2262,0.2879,0.0614,0.4134,0.2136,0.3388,0.0517,0.4135,0.1903,0.4734,0.0549,0.0012,0.7177,0.3591,0.9143,0.7118,0.8291,0.7103,0.8205,0.5043,0.7769,0.7002,0.44,0.0012,0.7404,0.1623,0.7052,0.8033,0.6047,0.5922,0.6607,0.5963,0.8058,0.6989,0.3256,1
0.3012,0.0896,0.3111,0.0287,0.3559,0.0726,0.3127,0.0221,0.3322,0.1023,0.414,0.0326,0.0018,0.8062,0.2231,0.6765,0.7958,0.9424,0.9356,0.8525,0.7959,0.7266,0.7723,0.4726,0.0018,0.8889,0.388,0.5275,0.6929,1,1,0.9966,0.7914,0.9612,0.8273,0.516,1
0.2539,0.3016,0.2025,0.0628,0.305,0.3154,0.1844,0.0689,0.2766,0.3136,0.225,0.073,0.0004,0.5664,0.0596,0.6451,0.5865,0.6568,0.629,0.7027,0.5098,0.6031,0.7007,0.4225,0.0004,0.6059,0.0271,0.4462,0.5555,0.6275,0.6039,0.585,0.6517,0.7196,0.7594,0.3277,-1
0.4238,0.1348,0.3096,0.0264,0.5938,0.1416,0.3421,0.0106,0.5641,0.1628,0.4243,0.012,0.0012,0.7423,0.3094,0.8079,0.7892,0.725,0.6524,0.8113,0.7275,0.7865,0.7748,0.5541,0.0012,0.7669,0.0507,0.7132,0.688,0.5299,0.445,0.5563,0.6933,0.6805,0.7991,0.3459,-1
0.2233,0.1873,0.4152,0.0274,0.3145,0.1953,0.3265,0.0277,0.3046,0.2168,0.4773,0.0278,0.0025,0.5992,0.2721,0.7178,0.6123,0.6477,0.5526,0.628,0.5678,0.6792,0.7097,0.4483,0.0025,0.6288,0.1182,0.6378,0.7005,0.43,0.3214,0.3159,0.6168,0.7017,0.7723,0.3692,-1
0.3621,0.2455,0.2957,0.215,0.4623,0.2387,0.319,0.2134,0.4355,0.2465,0.3957,0.2115,0.0036,0.5499,0,0.37,0.5953,0.7779,0.6605,0.7421,0.4796,0.586,0.5337,0.3009,0.0036,0.5754,0.1164,0.4372,0.6373,0.7529,0.6519,0.6806,0.4018,0.5544,0.5082,0.2403,-1
0.1475,0.3914,0.1047,0.0125,0.1777,0.4247,0.0746,0.0041,0.1651,0.394,0.145,0.0067,0.057,0.4911,0.2007,0.5755,0.6025,0.5772,0.5211,0.4684,0.4327,0.5701,0.613,0.4562,0.057,0.5213,0.1279,0.5787,0.5679,0.5848,0.5271,0.4631,0.4715,0.7542,0.5968,0.441,-1
0.2627,0.1886,0.2636,0.0965,0.2913,0.2112,0.2506,0.0955,0.2712,0.2266,0.3086,0.1007,0.0238,0.6258,0.3925,0.6584,0.5951,0.7017,0.5735,0.784,0.5696,0.6151,0.7897,0.5202,0.0238,0.7006,0.0716,0.6622,0.6487,0.5887,0.4126,0.5787,0.6459,0.8741,0.6996,0.4892,-1
0.1292,0.4516,0.5243,0.4798,0.1165,0.8506,0.5051,0.5182,0.0584,1,0.4707,0.5212,0.6739,0.1561,0.8745,0.1866,0,0,0,0,0.4114,0.5508,0.4529,0.3757,0.6739,0.1482,0.2556,0.105,0.0418,0.2018,0.3027,0.2861,0.4792,0.6329,0.5042,0.2309,-1
0.2163,0.4123,0.1363,0.037,0.2956,0.4229,0.1624,0.0365,0.2996,0.3549,0.2647,0.0386,0.0016,0.5012,0.3385,0.6374,0.7359,0.6768,0.5285,0.4717,0.3586,0.4519,0.5278,0.3542,0.0016,0.518,0.3007,0.6936,0.7963,0.7116,0.4289,0.3545,0.1868,0.4934,0.3629,0.2698,-1
0.3502,0.2223,0.2599,0.0267,0.4684,0.2118,0.2762,0.0327,0.4728,0.1961,0.4188,0.0368,0.0005,0.7842,0.2581,0.8001,0.822,0.8106,0.7566,0.8669,0.7387,0.8375,0.917,0.4815,0.0005,0.8223,0.2013,0.6884,0.8535,0.8304,0.7957,0.79,0.7542,0.9332,0.9038,0.3571,-1
0.2698,0.2032,0.2861,0.0501,0.3041,0.2048,0.2397,0.0063,0.2981,0.2107,0.3564,0.0098,0.0005,0.587,0.1788,0.6277,0.7645,0.6862,0.5837,0.6237,0.5568,0.6791,0.5045,0.4386,0.0005,0.6434,0.1257,0.4885,0.4728,0.5909,0.4852,0.4341,0.3884,0.7365,0.6452,0.1811,-1
0.2458,0.2184,0.2086,0.0085,0.2933,0.2501,0.1941,0.0038,0.2507,0.3045,0.2596,0.0075,0.0025,0.6488,0.2853,0.6642,0.7166,0.7804,0.7014,0.7862,0.5791,0.4864,0.6396,0.4697,0.0025,0.6911,0.2637,0.7258,0.6768,0.7558,0.7135,0.8317,0.5362,0.5459,0.5066,0.4073,-1
0.3344,0.1319,0.3933,0.0014,0.4714,0.1355,0.3246,0.0005,0.4829,0.1144,0.497,0.0005,0.003,0.7271,0.3946,0.777,0.736,0.7836,0.4937,0.7264,0.7011,0.9131,0.8253,0.6132,0.003,0.7422,0.3244,0.7719,0.5253,0.7074,0.5577,0.6313,0.7468,0.928,0.6499,0.4214,-1
0.2059,0.3104,0.1551,0.0076,0.2563,0.3471,0.1404,0.0062,0.2632,0.2791,0.2111,0.0105,0.0072,0.5577,0.215,0.6445,0.5473,0.6498,0.6139,0.6715,0.5688,0.554,0.7377,0.3885,0.0072,0.5835,0.2019,0.6517,0.2317,0.4385,0.4734,0.4618,0.5665,0.6533,0.7384,0.3707,-1
0.2096,0.2061,0.3435,0.0065,0.2575,0.2078,0.2295,0.0066,0.2536,0.2008,0.3373,0.0057,0.0005,0.5423,0.2484,0.7426,0.6205,0.6457,0.6753,0.616,0.3759,0.4543,0.5805,0.4002,0.0005,0.572,0.2368,0.8103,0.6167,0.6086,0.5303,0.4837,0.2511,0.3822,0.5332,0.181,-1
0.055,0.2725,0.1709,0.023,0.003,0.2319,0.0934,0.0099,0.0042,0.2123,0.1773,0.0138,0.0014,0.4261,0.117,0.4467,0.6011,0.5356,0.4989,0.6213,0.4483,0.3698,0.4484,0.2816,0.0014,0.5243,0.1851,0.3729,0.28,0.3395,0.4445,0.3568,0.4173,0.426,0.4867,0.2033,-1
0.3623,0.145,0.2804,0.028,0.4687,0.1211,0.2939,0.0273,0.4324,0.1491,0.3645,0.0278,0.0036,0.5625,0.2362,0.7693,0.7535,0.6935,0.5205,0.6159,0.4368,0.6415,0.5034,0.3915,0.0036,0.6073,0.1483,0.51,0.5757,0.5031,0.1792,0.3282,0.5063,0.6228,0.4794,0.1093,-1
0.2424,0.2184,0.2364,0.0397,0.2986,0.2365,0.2328,0.0427,0.2863,0.2322,0.3192,0.0474,0.003,0.6544,0.3657,0.7179,0.692,0.7335,0.7145,0.8362,0.592,0.44,0.6217,0.5068,0.003,0.6889,0.291,0.748,0.6763,0.4724,0.7562,0.7669,0.5433,0.5958,0.6513,0.2081,-1
0.1707,0.2712,0.1977,0.0646,0.2136,0.275,0.1903,0.0497,0.2158,0.2648,0.2768,0.0527,0.0003,0.5346,0.2522,0.5791,0.5585,0.5667,0.5864,0.5963,0.53,0.5569,0.6305,0.407,0.0003,0.5697,0.1484,0.554,0.3668,0.3075,0.4008,0.4514,0.3152,0.5183,0.5968,0.3313,-1
0.2704,0.1682,0.3942,0.0266,0.3625,0.198,0.3245,0.024,0.3658,0.2116,0.4535,0.024,0.003,0.4275,0.3137,0.6766,0.5829,0.5728,0.4572,0.507,0.3818,0.2219,0.2795,0.4077,0.003,0.4298,0.3159,0.5117,0.3775,0.3399,0.3088,0.2321,0.2032,0.2053,0.3569,0.3,-1
0.2298,0.1901,0.2653,0.01,0.2768,0.1836,0.2357,0.0057,0.2673,0.1709,0.3491,0.0091,0.0024,0.6333,0.3123,0.8023,0.6885,0.7173,0.7037,0.6823,0.5362,0.535,0.6065,0.5166,0.0024,0.6827,0.2495,0.7064,0.5343,0.6239,0.5948,0.4969,0.5319,0.66,0.6629,0.3657,-1
0.322,0.0962,0.3324,0.0151,0.4025,0.0874,0.3509,0.0108,0.3918,0.1188,0.4545,0.0087,0.0018,0.6267,0.222,0.6202,0.6964,0.672,0.5086,0.867,0.5919,0.6419,0.8478,0.302,0.0018,0.6644,0.2481,0.5084,0.4108,0.5909,0.3155,0.561,0.6428,0.5229,0.7727,0.4421,-1
0.2346,0.1488,0.421,0.0328,0.3365,0.1538,0.333,0.0019,0.3247,0.1618,0.4826,0.0014,0.0006,0.5648,0.3398,0.6037,0.6196,0.6359,0.5592,0.6191,0.4355,0.5743,0.6861,0.5084,0.0006,0.6465,0.2752,0.5357,0.3476,0.2395,0.3308,0.3106,0.3637,0.5739,0.7546,0.3939,-1
0.213,0.3354,0.1764,0.0291,0.3134,0.3551,0.2238,0.025,0.3083,0.3424,0.2963,0.0295,0.0012,0.5422,0.281,0.7228,0.6345,0.5275,0.622,0.6315,0.4418,0.5411,0.6179,0.3699,0.0012,0.5436,0.186,0.5893,0.7612,0.2581,0.3109,0.4703,0.2928,0.5881,0.752,0.2933,-1
0.0754,0.4389,0.1504,0.0615,0.0721,0.4543,0.1334,0.0482,0.0824,0.3923,0.2219,0.0521,0.0005,0.4524,0.1477,0.5772,0.5663,0.5041,0.4764,0.5682,0.4189,0.3776,0.5536,0.4113,0.0005,0.4955,0.1567,0.7001,0.5031,0.1177,0.3079,0.4084,0.2316,0.5747,0.5705,0.1302,-1
0.1719,0.3173,0.3789,0.0086,0.2037,0.3214,0.3083,0.0031,0.2414,0.2948,0.5064,0.0028,0.008,0.4583,0.2767,0.6693,0.6336,0.6225,0.5155,0.5494,0.5095,0.3054,0,0.47,0.008,0.5581,0.1337,0.5102,0.5825,0.4158,0.3585,0.3693,0.5551,0.5209,0.5909,0.4068,-1
0.1787,0.3721,0.387,0.0362,0.2141,0.3688,0.2593,0.0301,0.229,0.3733,0.4532,0.0308,0.0286,0.4395,0.2424,0.7023,0.5965,0.3335,0.2879,0.3911,0.4762,0.5045,0.6292,0.5569,0.0286,0.5073,0.162,0.6546,0.4704,0.3202,0.2711,0.2278,0.4869,0.5464,0.7401,0.5082,-1
0.2056,0.3508,0.1806,0.0691,0.3168,0.324,0.233,0.056,0.3097,0.2839,0.3085,0.0643,0.0059,0.5354,0.2173,0.5333,0.7204,0.5579,0.4527,0.6591,0.4024,0.5931,0.7009,0.4962,0.0059,0.5302,0.1177,0.4851,0.5726,0.3464,0.3389,0.3705,0.317,0.5289,0.6536,0.3991,-1
0.2052,0.1753,0.3257,0.2818,0.2392,0.162,0.3052,0.2651,0.2555,0.1249,0.4503,0.265,0.0007,0.484,0.2307,0.5691,0.5151,0.6105,0.4421,0.5681,0.414,0.5633,0.6312,0.3842,0.0007,0.535,0.3097,0.3395,0.3819,0.2898,0.266,0.2932,0.2527,0.5438,0.5502,0.5215,-1
0.3733,0.2088,0.2596,0.085,0.4344,0.1917,0.2819,0.0587,0.4444,0.1302,0.3669,0.0642,0.0103,0.5286,0.1706,0.6068,0.6499,0.5389,0.5904,0.6588,0.4304,0.4733,0.5484,0.5106,0.0103,0.5619,0.0501,0.3068,0.543,0.2518,0.4482,0.3187,0.338,0.5433,0.8221,0.4864,-1
0.1903,0.3847,0.246,0.0119,0.2876,0.3816,0.197,0.009,0.2912,0.3309,0.3299,0.0106,0.0014,0.4129,0.1238,0.5648,0.5941,0.6204,0.5623,0.5541,0.311,0.3103,0.2847,0.2682,0.0014,0.414,0.0295,0.4153,0.358,0.443,0.4059,0.3154,0.1097,0.3296,0.2161,0.3881,-1
0.1483,0.2316,0.3908,0.0304,0.196,0.267,0.2879,0.0351,0.1886,0.261,0.4142,0.0358,0.0048,0.3892,0.1774,0.5185,0.5722,0.5748,0.4402,0.485,0.338,0.2357,0.3826,0.4522,0.0048,0.3855,0.0468,0.4613,0.3837,0.3641,0.2303,0.4101,0.1587,0.1409,0.4048,0.1947,-1
0.1483,0.2316,0.3908,0.0304,0.196,0.267,0.2879,0.0351,0.1886,0.261,0.4142,0.0358,0.0042,0.3894,0.1774,0.5185,0.5722,0.5748,0.4402,0.485,0.338,0.2357,0.3826,0.4522,0.0042,0.3856,0.0907,0.4232,0.3553,0.3336,0.2358,0.4212,0.1307,0.1482,0.3703,0.2134,-1
0.474,0.0887,0.4473,0.0182,0.6662,0.0955,0.3939,0.0163,0.648,0.1118,0.5132,0.0178,0.0024,0.7146,0.4429,0.7558,0.7288,0.793,0.7032,0.7777,0.6803,0.7115,0.7256,0.4152,0.0024,0.7244,0.2321,0.8232,0.7203,0.7412,0.5311,0.6083,0.491,0.6713,0.4111,0.3281,-1
0.157,0.453,0.0959,0.039,0.2033,0.4309,0.101,0.0152,0.183,0.4335,0.1233,0.0158,0.0054,0.4085,0.2512,0.5529,0.5975,0.523,0.428,0.4649,0.3024,0.4226,0.515,0.1891,0.0054,0.4327,0.3014,0.5387,0.4129,0.3174,0.3201,0.2345,0.2336,0.4869,0.6208,0.2635,-1
0.5812,0.1354,0.5224,0.1274,0.7319,0.1758,0.5867,0.1437,0.7173,0.2608,0.7597,0.1514,0.0002,0.6801,0.407,0.9659,0.8617,0.6182,0.6432,0.5176,0.5436,0.7246,0.8463,0.5812,0.0002,0.7303,0.0623,0.7216,0.8886,0.5169,0.4733,0.4187,0.3959,0.6373,0.7358,0.2955,-1
0.3663,0.1349,0.3095,0.0157,0.4845,0.1349,0.2826,0.0107,0.4587,0.1553,0.3794,0.0118,0.0039,0.597,0.2712,0.7922,0.7745,0.6444,0.5375,0.5151,0.476,0.7839,0.6852,0.3358,0.0039,0.612,0.2203,0.5922,0.6972,0.5541,0.3914,0.2608,0.3832,0.7603,0.5865,0.2919,-1
0.1768,0.2995,0.2217,0.0456,0.2188,0.3354,0.2555,0.0575,0.2324,0.3117,0.3479,0.0624,0.0022,0.4596,0.2996,0.6809,0.5955,0.543,0.4883,0.6568,0.4582,0.2515,0.327,0.4101,0.0022,0.499,0.0639,0.461,0.3872,0.3046,0.2474,0.4605,0.4613,0.3025,0.4892,0.2365,-1
0.2313,0.3597,0.1684,0.0694,0.2815,0.3675,0.1452,0.0688,0.2809,0.3078,0.242,0.0783,0.0016,0.4532,0.2677,0.5126,0.6775,0.5664,0.5461,0.4815,0.3225,0.3676,0.4508,0.4399,0.0016,0.4796,0.2501,0.5624,0.5541,0.5385,0.344,0.2784,0.1645,0.3705,0.5091,0.1954,-1
0.2818,0.2102,0.2324,0.0405,0.3303,0.1932,0.239,0.0219,0.2989,0.1973,0.2646,0.027,0.0017,0.6119,0.4244,0.7708,0.7189,0.7453,0.4258,0.6506,0.4947,0.6193,0.7898,0.4707,0.0017,0.6657,0.2604,0.6698,0.8329,0.4386,0.3382,0.4399,0.6409,0.802,0.9235,0.5044,-1
0.3456,0.3474,0.2827,0.3439,0.428,0.386,0.33,0.4181,0.3551,0.3752,0.3434,0.4367,0.0025,0.5175,0.3933,0.6687,0.5049,0.6697,0.5826,0.6323,0.3504,0.4856,0.5756,0.3094,0.0025,0.5424,0.2398,0.436,0.4616,0.6339,0.6476,0.5111,0.4334,0.6092,0.4652,0.1903,-1
0.3495,0.212,0.2947,0.0519,0.4435,0.2561,0.3168,0.0487,0.4124,0.3004,0.3721,0.0493,0.0013,0.4677,0.1795,0.6531,0.5901,0.5609,0.4227,0.4742,0.5126,0.5552,0.4455,0.3828,0.0013,0.4801,0.1162,0.6349,0.3417,0.3342,0.3304,0.3218,0.2433,0.5335,0.4015,0.2561,-1
1,0.4014,1,1,0.8386,0.7902,1,1,0.652,0.8877,1,1,1,0,0.1713,0.1927,0,0,0,0,0,0.3917,0.2065,0.4619,1,0,0.0559,0.4198,0.0216,0,0.1403,0.1993,0.033,0.5033,0.3232,0.2207,-1
0.3027,0.2515,0.3678,0.0319,0.4378,0.2638,0.2943,0.0345,0.3998,0.2891,0.3832,0.0346,0.003,0.5144,0.3114,0.8035,0.6215,0.6235,0.4847,0.5847,0.3497,0.529,0.581,0.3075,0.003,0.5132,0.2674,0.6792,0.596,0.4328,0.4718,0.433,0.2429,0.4436,0.5183,0.1768,-1
0.3648,0.1566,0.2707,0.0302,0.5188,0.1407,0.3092,0.02,0.5086,0.1444,0.4565,0.0227,0.0028,0.6097,0.0474,0.8138,0.7788,0.7346,0.5714,0.456,0.6182,0.6719,0.7054,0.1897,0.0028,0.6191,0.3311,0.696,0.7889,0.6442,0.523,0.2654,0.5123,0.5854,0.5367,0.2903,-1
0.2001,0.236,0.3036,0.1162,0.2425,0.2359,0.3261,0.1064,0.2497,0.1997,0.4453,0.1169,0.0006,0.466,0.225,0.6913,0.4749,0.4933,0.4284,0.5167,0.5781,0.5172,0.4535,0.5037,0.0006,0.489,0.1591,0.3433,0.4011,0.2438,0.2666,0.3562,0.3075,0.4635,0.4388,0.3871,-1
0.6152,0.3689,0.6563,0.2871,0.8219,0.3804,0.6745,0.3335,0.6525,0.4242,0.7697,0.3415,0.0089,0.331,0.334,0.5815,0.3749,0.5792,0.515,0.6339,0.3402,0,0.08,0.1242,0.0089,0.3388,0,0.306,0.0717,0.3573,0.3089,0.4324,0.1801,0,0,0.06,-1
0.3393,0.1784,0.2462,0.0461,0.4536,0.1583,0.2725,0.0222,0.4506,0.1471,0.3786,0.0275,0.0027,0.6218,0.3027,0.6928,0.7068,0.5145,0.5911,0.6565,0.6626,0.823,0.7568,0.3735,0.0027,0.651,0.0401,0.5653,0.4786,0.377,0.3122,0.2769,0.3469,0.7735,0.8062,0.4116,-1
0.0467,0.3912,0.2901,0.3341,0.0314,0.4472,0.3283,0.3882,0.0131,0.3677,0.3809,0.3959,0.6821,0.1001,0.0176,0,0,0.0608,0,0.0522,0.3823,0.6157,0.6688,0.4555,0.6821,0.1074,0.0815,0,0.2128,0.1095,0.2509,0.4122,0.3275,0.6632,0.5563,0.5041,-1
0.1752,0.3652,0.1777,0.1179,0.223,0.3797,0.1895,0.0866,0.2039,0.3911,0.2177,0.0907,0.0028,0.5222,0.3236,0.6032,0.5689,0.6452,0.5682,0.5692,0.4968,0.598,0.4928,0.4194,0.0028,0.5432,0.2779,0.59,0.4569,0.6926,0.344,0.5981,0.5277,0.7315,0.6725,0.1849,-1
0.1643,0.4354,0.1501,0.066,0.2108,0.4475,0.1385,0.0493,0.1967,0.4359,0.1827,0.0497,0.0027,0.4734,0.4497,0.6434,0.5562,0.5195,0.3905,0.5827,0.4748,0.5728,0.5558,0.2315,0.0027,0.4976,0.0503,0.6085,0.5604,0.2596,0.2121,0.3552,0.5707,0.6412,0.6207,0.2173,-1
0.2343,0.5107,0.2764,0.0759,0.3519,0.6035,0.3622,0.0822,0.3011,0.6872,0.404,0.0873,0.0028,0.5254,0.6871,0.6422,0.6524,0.3548,0.3688,0.6803,0.5034,0.5642,0.7506,0.2159,0.0028,0.5317,0.1487,0.5387,0.5737,0.2403,0.1796,0.4216,0.4345,0.7068,0.7893,0.1954,-1
0.1685,0.3834,0.1798,0.0701,0.2184,0.3688,0.2076,0.0619,0.2023,0.363,0.2424,0.0621,0.0023,0.5313,0.0669,0.5736,0.6043,0.6558,0.4195,0.5725,0.5787,0.6181,0.6981,0.375,0.0023,0.5484,0.1067,0.4672,0.597,0.2812,0.2927,0.6891,0.7777,0.8182,0.4304,0.9717,-1
0.2224,0.1823,0.4027,0.0374,0.2329,0.1531,0.2673,0.0058,0.2282,0.1603,0.3945,0.0058,0.0022,0.4507,0.2979,0.3744,0.5896,0.5576,0.5322,0.592,0.3533,0.2108,0.7489,0.448,0.0022,0.6094,0.2484,0.5761,0.2184,0.3481,0.3577,0.3075,0.3314,0.67,0.6554,0.4534,-1
0.2078,0.3286,0.2796,0.0405,0.2961,0.3374,0.2074,0.0435,0.3056,0.2908,0.3387,0.0435,0.0008,0.4924,0.3565,0.6488,0.6193,0.4951,0.471,0.6424,0.444,0.3996,0.4664,0.4226,0.0008,0.5296,0.2056,0.3724,0.4736,0.1999,0.3023,0.3133,0.1629,0.6499,0.7202,0.2865,-1
